jurisdiction,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft
ALASKA,686293,4475,27,447,,645,3356,20090,3237,15225,1628
ARIZONA,6500180,31567,462,2200,,9809,19096,266653,58606,169460,38587
ARKANSAS,2855390,14649,165,1463,,2777,10244,110360,33912,69905,6543
CALIFORNIA,36756666,185329,2142,8903,,69388,104896,1080996,237811,650656,192529
COLORADO,4939456,17480,165,2151,,3404,11760,139340,28054,97937,13349
CONNECTICUT,3501252,10737,132,680,,4043,5882,87210,15107,63212,8891
DELAWARE,873092,6187,57,371,,1847,3912,31385,6783,22045,2557
FLORIDA,18328340,126256,1168,5972,,36268,82848,758889,188472,506902,63515
GEORGIA,9685744,47353,640,2334,,17808,26571,387917,100564,247709,39644
HAWAII,1288198,3510,26,363,,1085,2036,45944,9404,31424,5116
IDAHO,1523816,3680,23,579,,239,2839,31940,6748,23532,1660
ILLINOIS,12901563,67780,790,4118,,24054,38818,378355,78968,266815,32572
INDIANA,6376792,21525,322,1711,,7580,11912,213639,48805,147334,17500
IOWA,3002555,8651,77,937,,1249,6388,73273,16598,52299,4376
KANSAS,2802134,11554,113,1226,,1681,8534,94882,19651,67826,7405
KENTUCKY,4269245,12690,201,1457,,4080,6952,114492,29556,77279,7657
LOUISIANA,4410796,29613,544,1250,,6241,21578,171179,45524,112091,13564
MAINE,1316456,1572,31,379,,333,829,32433,6559,24695,1179
MARYLAND,5633597,35393,493,1127,,13203,20570,198165,38849,133983,25333
MASSACHUSETTS,6497967,30137,166,1751,,7077,21143,155919,36251,106913,12755
MICHIGAN,10003422,51512,554,4507,,13246,33205,295100,74787,184558,35755
MINNESOTA,5220393,13853,110,1805,,4179,7759,149517,26558,112764,10195
MISSISSIPPI,2938618,8942,236,958,,3079,4669,85488,25506,53730,6252
MISSOURI,5911605,29701,456,1612,,7395,20238,216522,45763,150002,20757
MONTANA,967440,3013,40,358,,204,2411,26300,3689,20834,1777
NEBRASKA,1783432,5570,69,601,,1297,3603,51350,8731,38394,4225
NEVADA,2600167,18973,165,1106,,6486,11216,90006,24254,49814,15938
NEW HAMPSHIRE,1315809,2054,14,385,,421,1234,28387,4266,22714,1407
NEW JERSEY,8682661,28351,376,1122,,12701,14152,199127,40402,138545,20180
NEW MEXICO,1984356,12967,161,1118,,2151,9537,75718,20706,46995,8017
NEW YORK,19490297,77546,836,2798,,31787,42125,388599,65544,297962,25093
NORTH CAROLINA,9222414,43125,599,2296,,14323,25907,372763,111556,234480,26727
NORTH DAKOTA,641481,1441,11,331,,73,1026,13029,2336,9782,911
OHIO,11485910,40436,547,4531,,18706,16652,391667,102428,260788,28451
OKLAHOMA,3642361,19359,215,1471,,3698,13975,126535,35247,80265,11023
OREGON,3790060,9909,87,1183,,2656,5983,125169,21115,92677,11377
PENNSYLVANIA,12448279,51044,705,3485,,18873,27981,300294,58687,219115,22492
RHODE ISLAND,1050788,2656,31,282,,880,1463,29895,5766,20926,3203
SOUTH CAROLINA,4479800,32746,307,1686,,6595,24158,189950,45964,126316,17670
SOUTH DAKOTA,804194,2227,37,562,,134,1494,13867,2683,10266,918
TENNESSEE,6214888,44913,412,2078,,10804,31619,251089,65093,166793,19203
TEXAS,24326974,123585,1370,8055,,37739,76421,969865,230046,654435,85384
UTAH,2736424,6165,41,915,,1421,3788,92373,14766,70299,7308
VERMONT,621270,854,17,133,,93,611,15903,3515,11802,586
VIRGINIA,7769089,20031,370,1794,,7470,10397,196726,32188,151191,13347
WASHINGTON,6549224,21888,193,2653,,6419,12623,249283,53136,167013,29134
WEST VIRGINIA,1814468,5006,67,389,,896,3654,45971,10840,31967,3164
WISCONSIN,5627967,15507,146,1128,,5163,9070,155456,27459,116456,11541
WYOMING,532668,1330,12,185,,87,1046,14515,2198,11584,733
ALABAMA,4708708,21194,322,1504,,6265,13103,178007,48844,118072,11091
ALASKA,698473,4424,22,513,,654,3235,20538,3600,15251,1687
ARIZONA,6595778,28128,380,2279,,8199,17270,236721,54308,155976,26437
ARKANSAS,2889450,14905,179,1378,,2576,10772,109078,34753,68228,6097
CALIFORNIA,36961664,174934,1972,8713,,64093,100156,1009433,230198,615402,163833
COLORADO,5024748,17022,159,2269,,3371,11223,134196,26637,95079,12480
CONNECTICUT,3518288,10588,106,657,,4001,5824,82625,15172,59992,7461
DELAWARE,885122,5713,41,395,,1680,3597,29685,6943,20836,1906
FLORIDA,18537969,113541,1017,5501,,30911,76112,712010,181884,479867,50259
GEORGIA,9829211,42073,566,2323,,14631,24553,360985,98606,229216,33163
HAWAII,1295178,3550,23,385,,1030,2112,47516,9244,33415,4857
IDAHO,1545801,3805,24,575,,254,2952,31220,6682,23066,1472
ILLINOIS,12910409,64185,773,3901,,22923,36588,353347,77850,248821,26676
INDIANA,6423113,21455,312,1621,,7347,12175,199907,48880,137190,13837
IOWA,3007856,8485,38,890,,1201,6356,70080,16419,49757,3904
KANSAS,2818747,11460,125,1179,,1786,8370,90930,19473,65499,5958
KENTUCKY,4314113,11000,184,1531,,3642,5643,108914,29880,72938,6096
LOUISIANA,4492076,28878,529,1351,,6150,20848,172619,46928,114102,11589
MAINE,1318301,1580,26,375,,399,780,31706,6729,23955,1022
MARYLAND,5699478,33625,440,1156,,12007,20022,182295,36905,125771,19619
MASSACHUSETTS,6593587,30503,173,1734,,7467,21129,153178,34515,106799,11864
MICHIGAN,9969727,49825,623,4524,,12427,32251,284019,76046,178628,29345
MINNESOTA,5266214,12874,74,1789,,3619,7392,139286,25580,105160,8546
MISSISSIPPI,2951996,8451,194,991,,2969,4297,87327,29559,52329,5439
MISSOURI,5987580,29513,387,1606,,7437,20083,201783,43591,140764,17428
MONTANA,974989,2798,32,357,,228,2181,24826,3686,19528,1612
NEBRASKA,1796619,5199,41,617,,1220,3321,49731,8726,37496,3509
NEVADA,2643085,18639,156,1024,,6028,11431,80976,22115,46463,12398
NEW HAMPSHIRE,1324575,2125,11,399,,454,1261,28790,4915,22748,1127
NEW JERSEY,8707739,27113,319,1041,,11639,14114,180752,36945,128303,15504
NEW MEXICO,2009671,12709,198,1069,,1932,9510,74639,21955,46182,6502
NEW YORK,19541453,75110,781,2582,,28141,43606,377537,62769,292897,21871
NORTH CAROLINA,9380884,37946,489,2306,,11825,23326,343707,107830,215923,19954
NORTH DAKOTA,646844,1723,12,296,,107,1308,12813,2426,9474,913
OHIO,11542645,38305,527,4119,,17670,15989,376446,104009,249777,22660
OKLAHOMA,3687050,18560,234,1535,,3358,13433,132350,38071,83813,10466
OREGON,3825657,9968,88,1202,,2499,6179,114780,19739,85064,9977
PENNSYLVANIA,12604767,48188,664,3626,,17504,26394,277182,54772,204588,17822
RHODE ISLAND,1053209,2678,32,296,,785,1565,27558,5753,19403,2402
SOUTH CAROLINA,4561242,30799,305,1663,,5753,23078,178310,45443,119250,13617
SOUTH DAKOTA,812383,1777,30,501,,117,1129,14378,2621,10891,866
TENNESSEE,6296254,41933,468,2019,,9653,29793,237157,63832,158309,15016
TEXAS,24782302,121684,1330,8311,,38022,74021,995082,240058,678455,76569
UTAH,2784572,5998,39,941,,1304,3714,91751,15258,69556,6937
VERMONT,621760,837,8,132,,111,586,15010,3471,11090,449
VIRGINIA,7882590,18195,370,1572,,6342,9911,194020,31956,150374,11690
WASHINGTON,6664195,22412,190,2583,,6711,12928,245215,53047,168421,23747
WEST VIRGINIA,1819777,5554,84,470,,914,4086,46215,12005,31453,2757
WISCONSIN,5654774,14650,146,1118,,4904,8482,147692,26813,111947,8932
WYOMING,544270,1196,11,172,,78,935,14243,2176,11310,757
ALABAMA,4785401,18363,275,1355,,4864,11869,168828,42484,115564,10780
ALASKA,714146,4537,31,533,,594,3379,20259,3105,15535,1619
ARIZONA,6413158,26528,408,2191,,6953,16976,226802,50932,154137,21733
ARKANSAS,2921588,14711,134,1321,,2369,10887,103820,32463,65796,5561
CALIFORNIA,37338198,164133,1809,8331,,58116,95877,981939,228857,600558,152524
COLORADO,5047692,16339,129,2230,,3164,10816,135001,26196,97534,11271
CONNECTICUT,3575498,10083,133,595,,3553,5802,78259,15145,56413,6701
DELAWARE,899792,5608,51,326,,1839,3392,31078,7550,21593,1935
FLORIDA,18838613,101969,987,5373,,26086,69523,669035,169119,458454,41462
GEORGIA,9712157,39068,555,2107,,12372,24034,353449,96947,226161,30341
HAWAII,1363359,3603,25,377,,1065,2136,45667,8706,31681,5280
IDAHO,1571102,3464,22,533,,213,2696,31436,6513,23594,1329
ILLINOIS,12841980,57132,704,3066,,20386,32976,349064,77472,242681,28911
INDIANA,6490622,20983,268,1760,,6559,12396,199274,48570,137204,13500
IOWA,3050202,8191,38,883,,1012,6258,68740,16746,48194,3800
KANSAS,2859143,10602,97,1146,,1538,7821,89109,19315,63774,6020
KENTUCKY,4347223,10604,188,1438,,3748,5230,111170,30443,74488,6239
LOUISIANA,4545343,25241,500,1230,,5297,18214,165667,45437,110260,9970
MAINE,1327379,1621,24,389,,412,796,32900,7364,24547,989
MARYLAND,5785681,31607,426,1228,,11054,18899,173309,36704,118578,18027
MASSACHUSETTS,6555466,30737,214,1784,,6897,21842,154496,37903,105124,11469
MICHIGAN,9877143,48693,580,4733,,11522,31858,271501,74345,169748,27408
MINNESOTA,5310658,12515,96,1798,,3388,7233,136431,24415,103429,8587
MISSISSIPPI,2970072,7999,204,931,,2777,4087,88596,30453,52784,5359
MISSOURI,5995715,27440,420,1445,,6185,19390,200858,44197,140526,16135
MONTANA,990958,2733,25,332,,154,2222,25409,3692,20166,1551
NEBRASKA,1830141,5093,54,674,,1020,3345,48827,8318,36896,3613
NEVADA,2704283,17929,158,965,,5298,11508,75004,22286,42533,10185
NEW HAMPSHIRE,1316807,2204,13,411,,450,1330,29230,5444,22789,997
NEW JERSEY,8799593,27055,371,981,,11818,13885,183042,38732,128754,15556
NEW MEXICO,2065913,12147,140,959,,1616,9432,70776,21023,44503,5250
NEW YORK,19395206,76492,868,2797,,28630,44197,379710,65839,293232,20639
NORTH CAROLINA,9560234,34679,474,2002,,9620,22583,329202,102826,208057,18319
NORTH DAKOTA,674629,1548,10,245,,90,1203,12010,2000,9137,873
OHIO,11537968,36306,479,3730,,16486,15611,376836,107125,248581,21130
OKLAHOMA,3760184,18100,195,1469,,3345,13091,129464,37848,81303,10313
OREGON,3838332,9648,96,1239,,2421,5892,116657,20035,87494,9128
PENNSYLVANIA,12717722,46612,653,3472,,16375,26112,276366,55206,204440,16720
RHODE ISLAND,1052528,2709,29,298,,782,1600,26959,6124,18432,2403
SOUTH CAROLINA,4637106,27923,265,1551,,5017,21090,181098,46261,121544,13293
SOUTH DAKOTA,816598,2196,23,385,,154,1634,15188,3192,11196,800
TENNESSEE,6357436,38909,359,2173,,8361,28016,232855,64293,153729,14833
TEXAS,25253466,113231,1249,7622,,32843,71517,951246,228597,654626,68023
UTAH,2775479,5925,53,983,,1269,3620,88316,15095,67242,5979
VERMONT,625909,820,7,141,,76,596,14160,3348,10373,439
VIRGINIA,8023953,17184,376,1580,,5678,9550,187403,30804,145990,10609
WASHINGTON,6742950,21138,154,2579,,5929,12476,249426,55192,168490,25744
WEST VIRGINIA,1854368,5586,58,362,,776,4390,41301,10778,28104,2419
WISCONSIN,5691659,14167,155,1191,,4516,8305,142781,26636,107993,8152
WYOMING,564554,1117,8,162,,77,870,13869,2151,11126,592
ALABAMA,4803689,20166,299,1370,,4906,13591,173192,51119,111411,10662
ALASKA,723860,4416,30,436,,576,3374,19094,2852,14854,1388
ARIZONA,6467315,26789,397,2499,,7145,16748,229896,54695,155400,19801
ARKANSAS,2938582,14173,160,1230,,2357,10426,110430,34016,70645,5769
CALIFORNIA,37683933,154943,1792,7665,,54291,91195,973822,230075,596905,146842
COLORADO,5116302,16085,155,2285,,3299,10346,132781,25725,96054,11002
CONNECTICUT,3586717,9889,129,689,,3689,5382,77205,15468,55067,6670
DELAWARE,908137,5144,48,307,,1558,3231,31163,7617,22001,1545
FLORIDA,19082262,98198,984,5273,,25622,66319,671200,170171,461408,39621
GEORGIA,9812460,36762,549,2066,,12266,21881,357235,96014,231543,29678
HAWAII,1378129,3465,20,353,,994,2098,43874,8165,31240,4469
IDAHO,1583744,3202,35,444,,188,2535,32875,6915,24629,1331
ILLINOIS,12859752,54523,781,3030,,20217,30495,344468,77719,237362,29387
INDIANA,6516353,21619,306,1758,,6977,12578,206016,50571,140630,14815
IOWA,3064097,7883,44,866,,824,6149,72043,17573,50472,3998
KANSAS,2870386,10209,111,1122,,1448,7528,88655,18712,63259,6684
KENTUCKY,4366814,10465,151,1499,,3705,5110,119037,32750,79586,6701
LOUISIANA,4574766,25373,506,1262,,5235,18370,168529,46242,113174,9113
MAINE,1328544,1638,26,394,,370,848,33829,7865,24886,1078
MARYLAND,5839572,28817,399,1200,,10342,16876,166846,35823,114951,16072
MASSACHUSETTS,6607003,28232,184,1654,,6768,19626,148829,36403,101644,10782
MICHIGAN,9876801,43731,617,4344,,10263,28507,251329,69755,156666,24908
MINNESOTA,5347299,12323,75,2113,,3385,6750,136183,25681,102354,8148
MISSISSIPPI,2977457,8009,232,863,,2496,4418,89809,30722,54179,4908
MISSOURI,6008984,26888,366,1469,,6275,18778,199085,44875,138879,15331
MONTANA,997667,2755,29,366,,171,2189,23885,3347,19089,1449
NEBRASKA,1842234,4672,68,699,,993,2912,50894,8725,38060,4109
NEVADA,2720028,15452,139,913,,4308,10092,70075,20342,40156,9577
NEW HAMPSHIRE,1317807,2864,16,581,,509,1758,32756,6244,25398,1114
NEW JERSEY,8834773,27203,380,1006,,12209,13608,189719,43238,129066,17415
NEW MEXICO,2078674,11904,158,856,,1720,9170,73549,21419,46730,5400
NEW YORK,19501616,77463,769,2751,,28405,45538,371837,65227,287361,19249
NORTH CAROLINA,9651103,33421,498,1959,,9448,21516,337806,105534,215453,16819
NORTH DAKOTA,684740,1699,24,266,,91,1318,13334,2458,9891,985
OHIO,11541007,35218,500,3679,,15991,15048,380572,112901,246744,20927
OKLAHOMA,3784163,17311,212,1410,,3288,12401,127618,36462,80064,11092
OREGON,3868229,9643,84,1239,,2237,6083,121869,20704,92059,9106
PENNSYLVANIA,12743948,46189,639,3339,,16165,26046,283442,57966,208604,16872
RHODE ISLAND,1050646,2586,20,319,,744,1503,27976,6836,18765,2375
SOUTH CAROLINA,4673348,27894,320,1678,,4631,21265,183243,47351,122255,13637
SOUTH DAKOTA,823593,2105,20,503,,167,1415,15299,2927,11423,949
TENNESSEE,6399787,38895,380,2095,,8082,28338,230900,62830,153928,14142
TEXAS,25631778,104734,1130,7486,,28620,67498,892810,215755,613131,63924
UTAH,2814347,5547,50,901,,1079,3517,84084,13170,64727,6187
VERMONT,626592,925,11,146,,99,669,15086,3838,10720,528
VIRGINIA,8104384,16014,304,1591,,5425,8694,182902,30656,142476,9770
WASHINGTON,6823267,20152,163,2320,,5627,12042,244209,56561,162828,24820
WEST VIRGINIA,1854908,5497,87,372,,802,4236,39009,10245,26656,2108
WISCONSIN,5709843,14268,138,1190,,4600,8340,139912,27167,104472,8273
WYOMING,567356,1245,18,146,,71,1010,12878,1864,10493,521
ALABAMA,4817528,21693,342,1296,,5020,15035,168878,47481,111523,9874
ALASKA,730307,4412,30,583,,630,3169,20037,2950,15565,1522
ARIZONA,6551149,28077,358,2282,,7383,18054,231701,52911,159808,18982
ARKANSAS,2949828,13851,174,1233,,2310,10134,109389,32673,70982,5734
CALIFORNIA,37999878,160944,1884,7837,,56521,94702,1049465,245767,635090,168608
COLORADO,5189458,15951,152,2122,,3392,10285,139355,26163,101091,12101
CONNECTICUT,3591765,10183,117,933,,3709,5424,77169,14787,55904,6478
DELAWARE,917053,5048,56,249,,1498,3245,30707,7389,21880,1438
FLORIDA,19320749,94087,1009,5260,,23889,63929,632988,153563,442095,37330
GEORGIA,9915646,37675,583,2143,,12502,22447,339473,86992,223875,28606
HAWAII,1390090,3378,21,279,,1125,1953,43419,7653,31901,3865
IDAHO,1595590,3348,30,495,,243,2580,31825,7240,23203,1382
ILLINOIS,12868192,53556,770,3581,,19480,29725,332706,71100,235314,26292
INDIANA,6537782,22544,307,1661,,6601,13975,197994,47689,136668,13637
IOWA,3075039,8167,49,901,,962,6255,70357,17201,49116,4040
KANSAS,2885398,10292,85,1105,,1493,7609,91066,18874,65413,6779
KENTUCKY,4379730,9852,201,1312,,3547,4792,112800,29877,76199,6724
LOUISIANA,4602134,22839,489,1155,,5458,15737,162673,42037,112764,7872
MAINE,1328501,1626,26,372,,420,808,33398,7476,24931,991
MARYLAND,5884868,28086,373,1237,,10173,16303,162309,33803,113550,14956
MASSACHUSETTS,6645303,27047,121,1650,,6555,18721,143325,34635,99453,9237
MICHIGAN,9882519,44962,701,4635,,10423,29203,249249,65560,158609,25080
MINNESOTA,5379646,12419,99,1638,,3475,7207,138152,25378,104316,8458
MISSISSIPPI,2986450,7769,213,819,,2277,4460,83933,28084,51520,4329
MISSOURI,6024522,27189,390,1527,,5782,19490,199813,42510,140971,16332
MONTANA,1005494,2803,29,392,,202,2180,26102,3920,20484,1698
NEBRASKA,1855350,4802,52,710,,1128,2912,51203,8745,38301,4157
NEVADA,2754354,16763,124,931,,4918,10790,77510,22120,45372,10018
NEW HAMPSHIRE,1321617,2841,15,486,,471,1869,32074,5988,25024,1062
NEW JERSEY,8867749,25727,388,1035,,11385,12919,181481,42338,122662,16481
NEW MEXICO,2083540,11660,116,957,,1847,8740,75094,21384,48247,5463
NEW YORK,19576125,79535,683,2837,,28633,47382,375268,64389,293562,17317
NORTH CAROLINA,9748364,34464,479,1984,,9392,22609,328594,99323,213151,16120
NORTH DAKOTA,701345,1723,25,279,,127,1292,14297,2429,10687,1181
OHIO,11553031,34827,478,3813,,15396,15140,370435,105312,245372,19751
OKLAHOMA,3815780,18102,220,1622,,3248,13012,130969,36094,83131,11744
OREGON,3899801,9638,91,1159,,2419,5969,126417,22051,94114,10252
PENNSYLVANIA,12764475,45384,707,3371,,15735,25571,276562,57040,204409,15113
RHODE ISLAND,1050304,2657,36,292,,715,1614,27039,5929,18478,2632
SOUTH CAROLINA,4723417,26474,332,1712,,4511,19919,181049,45222,122340,13487
SOUTH DAKOTA,834047,2701,23,600,,157,1921,17326,3280,12973,1073
TENNESSEE,6454914,41213,400,2047,,8151,30615,217925,56231,148731,12963
TEXAS,26060796,106475,1148,7715,,30385,67227,876459,205002,606425,65032
UTAH,2854871,5939,52,975,,1105,3807,86284,13095,67157,6032
VERMONT,625953,891,8,131,,114,638,15653,4179,11014,460
VIRGINIA,8186628,15676,322,1505,,4718,9131,178434,29651,139654,9129
WASHINGTON,6895318,20553,217,2250,,5801,12285,254377,61376,166338,26663
WEST VIRGINIA,1856680,5943,70,415,,835,4623,44500,11466,30800,2234
WISCONSIN,5724554,16254,169,1228,,4692,10165,140780,27931,104619,8230
WYOMING,576626,1161,14,154,,61,932,13222,2125,10513,584
ALABAMA,4833996,20834,346,1449,2055,4645,13788,161835,42410,108862,10563
ALASKA,737259,4709,34,657,925,623,3127,21211,2917,16599,1695
ARIZONA,6634997,27576,355,2344,3174,6656,17391,223294,48292,158036,16966
ARKANSAS,2958765,13705,158,1135,1490,2261,9796,106477,30369,70430,5678
CALIFORNIA,38431393,154739,1746,7464,10324,53640,89029,1018907,232058,621557,165292
COLORADO,5272086,16099,174,2198,2963,3136,9826,139974,25075,102375,12524
CONNECTICUT,3599341,9439,91,647,891,3551,4906,71274,12934,52099,6241
DELAWARE,925240,4633,41,278,399,1233,2960,29001,6299,21347,1355
FLORIDA,19600311,91993,972,4765,6767,23200,61054,607170,138915,433344,34911
GEORGIA,9994759,37519,563,2022,2891,12704,21361,339808,83459,229190,27159
HAWAII,1408987,3585,32,366,508,934,2111,45266,7777,32928,4561
IDAHO,1612843,3471,29,516,674,220,2548,30230,6693,21999,1538
ILLINOIS,12890552,51956,722,3895,5340,17733,28161,296048,59093,216059,20896
INDIANA,6570713,23627,357,1623,2241,7114,13915,187472,42754,130534,14184
IOWA,3092341,8443,41,873,1133,937,6332,67976,15918,47803,4255
KANSAS,2895801,9928,117,1003,1295,1339,7177,85704,17476,61557,6671
KENTUCKY,4399583,9280,172,951,1646,3247,4215,104448,26331,72048,6069
LOUISIANA,4629284,24127,494,1248,1763,5539,16331,165679,41214,115300,9165
MAINE,1328702,1761,24,366,495,335,907,30454,6480,23063,911
MARYLAND,5938737,28235,384,1179,1679,10048,16124,157918,31950,112551,13417
MASSACHUSETTS,6708874,27264,138,1722,2303,6705,18118,137274,30716,97437,9121
MICHIGAN,9898193,44757,625,4506,6785,10093,27254,230135,56256,149794,24085
MINNESOTA,5422060,12710,114,1453,2014,3674,6908,131193,22713,100514,7966
MISSISSIPPI,2992206,8303,217,726,1024,2413,4649,81548,24969,52192,4387
MISSOURI,6044917,26216,369,1679,2305,5486,18056,189655,38797,134514,16344
MONTANA,1014864,2924,23,382,467,217,2217,26195,4122,20192,1881
NEBRASKA,1868969,4949,56,621,847,1035,3011,49197,8945,35791,4461
NEVADA,2791494,16888,163,1090,1482,5183,10060,79177,23047,46132,9998
NEW HAMPSHIRE,1322616,2952,21,522,778,647,1506,29278,4979,23355,944
NEW JERSEY,8911502,25748,404,861,1189,12084,12071,167634,35883,118005,13746
NEW MEXICO,2086895,12990,123,1135,1565,1832,9470,78958,21828,51146,5984
NEW YORK,19695680,77563,644,2575,3548,27241,46130,358603,56444,286676,15483
NORTH CAROLINA,9848917,33587,463,1790,2524,9275,21325,305631,90182,201043,14406
NORTH DAKOTA,723857,1979,16,288,355,161,1447,15356,2979,10942,1435
OHIO,11572005,33722,478,3594,4391,14483,14370,338414,91090,227799,19525
OKLAHOMA,3853118,17187,198,1715,2314,3023,11652,126418,33512,81624,11282
OREGON,3928068,9536,82,1000,1464,2394,5596,125083,20808,94363,9912
PENNSYLVANIA,12781296,42825,611,2728,3795,14739,23680,263176,52000,197410,13766
RHODE ISLAND,1053354,2710,31,333,449,683,1547,25741,5621,17881,2239
SOUTH CAROLINA,4771929,24263,305,1739,2233,3965,17760,173261,40930,119730,12601
SOUTH DAKOTA,845510,2733,18,454,507,156,2052,16274,3383,11955,936
TENNESSEE,6497269,38063,335,1904,2500,7333,27895,207683,51334,144443,11906
TEXAS,26505637,108757,1140,7610,10456,31810,65351,862289,191062,605440,65787
UTAH,2902787,6644,51,926,1522,1247,3824,88334,13727,67115,7492
VERMONT,626855,775,10,113,136,75,554,13882,3352,10193,337
VIRGINIA,8270345,16355,320,1476,2350,4574,9111,171558,26717,136215,8626
WASHINGTON,6973742,20223,167,2072,2604,5829,11623,259139,58487,172227,28425
WEST VIRGINIA,1853595,5657,62,367,700,653,4242,39929,9908,28055,1966
WISCONSIN,5742953,16118,163,1308,1836,4834,9285,125694,24358,93946,7390
WYOMING,583223,1212,17,144,204,74,917,12809,1956,10275,578
ALABAMA,4849377,20727,276,1436,2005,4701,13745,154094,39715,104238,10141
ALASKA,736732,4684,41,555,771,629,3243,20334,3150,15445,1739
ARIZONA,6731484,26916,319,2464,3378,6249,16970,215240,43562,154091,17587
ARKANSAS,2966369,14243,165,1182,1763,2050,10265,99018,24790,68627,5601
CALIFORNIA,38802500,153709,1699,8398,11527,48680,91803,947192,202670,592670,151852
COLORADO,5355866,16554,151,2121,3039,3039,10325,135510,23472,99464,12574
CONNECTICUT,3596677,8522,86,571,782,3159,4495,69070,11955,51005,6110
DELAWARE,935614,4576,54,249,386,1269,2867,27900,5768,20865,1267
FLORIDA,19893297,107521,1149,6051,8563,24914,72895,679446,143220,493647,42579
GEORGIA,10097343,38097,580,2159,3048,12417,22052,331316,76428,228034,26854
HAWAII,1419561,3680,26,314,445,1107,2102,43297,7778,31640,3879
IDAHO,1634464,3468,32,468,609,204,2623,30316,6428,22227,1661
ILLINOIS,12880580,47663,685,3081,4159,15299,27520,267385,50008,199926,17451
INDIANA,6596855,24099,330,1615,2186,6897,14686,174776,36893,124022,13861
IOWA,3107126,8497,60,828,1128,1045,6264,65056,14428,46477,4151
KANSAS,2904021,10123,91,1075,1411,1362,7259,79431,15828,56697,6906
KENTUCKY,4413457,9340,160,883,1440,3336,4404,99166,23244,69604,6318
LOUISIANA,4649676,23934,477,992,1375,5695,16387,160824,38337,112596,9891
MAINE,1330089,1700,21,360,485,304,890,26421,5030,20592,799
MARYLAND,5976407,26661,365,1144,1619,9544,15133,149859,28012,108745,13102
MASSACHUSETTS,6745408,26399,132,1629,2180,6036,18051,125267,24964,92043,8260
MICHIGAN,9909877,42348,535,4049,6273,8021,27519,202547,44184,137206,21157
MINNESOTA,5457173,12505,88,1452,2001,3687,6729,125377,20773,96237,8367
MISSISSIPPI,2994079,8338,258,764,1058,2430,4592,87462,24352,58591,4519
MISSOURI,6063589,26856,403,1706,2379,5592,18482,176237,35258,124622,16357
MONTANA,1023579,3313,37,430,541,203,2532,25312,3595,19674,2043
NEBRASKA,1881503,5275,54,620,862,1043,3316,47479,7950,35074,4455
NEVADA,2839099,18045,170,995,1357,5954,10564,74538,21927,42426,10185
NEW HAMPSHIRE,1326813,2602,12,458,594,537,1459,26041,4162,21022,857
NEW JERSEY,8938175,23346,349,953,1274,10498,11225,154993,31710,111578,11705
NEW MEXICO,2085572,12459,101,1071,1475,2086,8797,73877,18505,49082,6290
NEW YORK,19746227,75398,617,3918,5433,24045,45303,339282,50781,272765,15736
NORTH CAROLINA,9943964,32767,510,1740,2420,8416,21421,285697,79373,192694,13630
NORTH DAKOTA,739482,1960,22,276,358,173,1407,15605,2707,11384,1514
OHIO,11594163,33030,464,4097,5042,12753,14771,324528,78845,227668,18015
OKLAHOMA,3878051,15744,175,1277,1777,3048,10744,115982,29508,75891,10583
OREGON,3970239,9224,81,1052,1458,2093,5592,114305,17230,87526,9549
PENNSYLVANIA,12787209,40164,614,2787,3827,13534,22189,247016,45720,188256,13040
RHODE ISLAND,1055173,2313,25,253,361,529,1398,22935,4823,16279,1833
SOUTH CAROLINA,4832482,24052,311,1480,2068,3997,17676,167217,36721,117594,12902
SOUTH DAKOTA,853175,2786,20,413,470,200,2096,15902,2818,12077,1007
TENNESSEE,6549352,39848,371,1861,2531,7265,29681,200447,46642,141206,12599
TEXAS,26956958,109414,1184,8236,11393,31181,65656,813934,169234,576154,68546
UTAH,2942902,6346,67,945,1454,1312,3513,84711,11518,65895,7298
VERMONT,626562,622,10,99,110,70,432,9551,2034,7273,244
VIRGINIA,8326289,16340,338,1432,2310,4292,9400,160720,23122,129933,7665
WASHINGTON,7061530,20136,174,2171,2695,5640,11627,261706,55290,175769,30647
WEST VIRGINIA,1850326,5588,74,285,505,651,4358,37648,8973,26779,1896
WISCONSIN,5757564,16714,165,1168,1674,5066,9809,120238,21216,89103,9919
WYOMING,584153,1142,16,126,174,53,899,11477,1689,9185,603
ALABAMA,4858979,22952,348,1456,2039,4611,15954,144746,35255,99156,10335
ALASKA,738432,5392,59,650,901,761,3671,20806,3511,15249,2046
ARIZONA,6828065,28012,309,2294,3108,6360,18235,207107,37957,152365,16785
ARKANSAS,2978204,15526,181,1300,1931,2098,11316,96836,22640,68424,5772
CALIFORNIA,39144818,166883,1861,9387,12811,52862,99349,1024914,197404,656517,170993
COLORADO,5456574,17515,176,2377,3257,3323,10759,144136,23454,104682,16000
CONNECTICUT,3590886,7845,117,582,773,2892,4063,65066,10053,48675,6338
DELAWARE,945934,4720,63,243,341,1235,3081,25455,4773,19501,1181
FLORIDA,20271272,93626,1041,5430,7553,21137,63895,570270,109268,420341,40661
GEORGIA,10214860,38643,615,2296,3224,12247,22557,308723,66374,215867,26482
HAWAII,1431603,4201,19,400,561,1203,2418,54346,6557,42010,5779
IDAHO,1654930,3568,32,533,694,192,2650,28858,6124,20863,1871
