jurisdiction,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft
NORTH CAROLINA,8305820,39118,548,2196,,12205,24169,353708,99535,229307,24866
NORTH DAKOTA,633911,496,5,163,,58,270,14762,2243,11501,1018
OHIO,11408699,40128,526,4809,,17871,16922,428976,99164,287045,42767
OKLAHOMA,3489700,17587,163,1573,,2966,12885,148128,35171,100185,12772
OREGON,3520355,10298,72,1238,,2742,6246,161145,25696,118925,16524
PENNSYLVANIA,12328827,49578,624,3731,,17163,28060,300868,55610,212441,32817
RHODE ISLAND,1068326,3051,41,395,,916,1699,35342,6415,24051,4876
SOUTH CAROLINA,4103770,33761,298,1959,,5774,25730,183808,43745,123196,16867
SOUTH DAKOTA,760437,1350,11,361,,117,861,15992,3034,12139,819
TENNESSEE,5789796,41562,420,2290,,9413,29439,249399,61248,161610,26541
TEXAS,21736925,126018,1302,8508,,37580,78628,1004274,212602,688992,102680
UTAH,2318789,5488,47,943,,1140,3358,97641,15124,74795,7722
VERMONT,616408,658,13,126,,77,442,14942,3489,10684,769
VIRGINIA,7287829,21256,388,1839,,6961,12068,207783,31757,157548,18478
WASHINGTON,6067060,20964,184,2734,,5797,12249,288967,54948,193526,40493
WEST VIRGINIA,1804884,4221,57,328,,657,3179,41099,9677,27524,3898
WISCONSIN,5439692,12238,154,1237,,4713,6134,164749,27926,123365,13458
WYOMING,498830,1364,15,148,,93,1108,16494,2448,13303,743
ALABAMA,4503726,19331,299,1656,,6038,11338,182241,43245,124039,14957
ALASKA,648280,3877,39,605,,446,2787,24386,3874,18051,2461
ARIZONA,5579222,28638,441,1856,,7619,18722,314335,58613,198725,56997
ARKANSAS,2727774,12449,180,911,,2227,9131,99084,25016,68061,6007
CALIFORNIA,35462712,205551,2407,9994,,63770,129380,1215086,242274,731486,241326
COLORADO,4547633,15757,185,1913,,3738,9921,179706,32394,124496,22816
CONNECTICUT,3486960,11045,112,698,,4212,6023,92981,16043,65568,11370
DELAWARE,818166,5525,21,370,,1441,3693,27943,6066,18933,2944
FLORIDA,16999181,124280,924,6727,,31523,85106,757696,170644,505489,81563
GEORGIA,8676460,39435,657,2234,,14043,22501,369589,79001,247196,43392
HAWAII,1248755,3400,22,367,,1168,1843,65867,11409,44807,9651
IDAHO,1367034,3362,26,535,,245,2556,40042,7837,29559,2646
ILLINOIS,12649087,70376,895,4189,,23786,41506,415885,78345,295907,41633
INDIANA,6199571,21842,338,1720,,6401,13383,208039,41582,145686,20771
IOWA,2941976,8175,50,796,,1131,6198,87554,17515,64400,5639
KANSAS,2724786,10831,125,1085,,2247,7374,109276,21973,79471,7832
KENTUCKY,4118189,10232,181,1124,,3224,5703,103370,26034,69083,8253
LOUISIANA,4493665,28622,584,1601,,7008,19429,193698,44572,129471,19655
MAINE,1309205,1422,16,354,,289,763,32078,6579,24043,1456
MARYLAND,5512310,38778,525,1358,,13302,23593,209418,38641,134372,36405
MASSACHUSETTS,6420357,30377,140,1848,,8011,20378,164543,34963,104069,25511
MICHIGAN,10082364,51550,612,5470,,11254,34214,330565,68316,208538,53711
MINNESOTA,5064172,13316,127,2092,,3906,7191,157663,27698,116216,13749
MISSISSIPPI,2882594,9336,267,1079,,3016,4974,106867,29564,68307,8996
MISSOURI,5719204,28067,289,1400,,6686,19692,233564,41997,161616,29951
MONTANA,918157,3351,30,246,,298,2777,28428,3722,22800,1906
NEBRASKA,1737475,5105,56,504,,1165,3380,65189,10133,48924,6132
NEVADA,2242207,13813,197,871,,5225,7520,96128,21958,53321,20849
NEW HAMPSHIRE,1288705,1937,17,438,,480,1002,26456,4589,19934,1933
NEW JERSEY,8642412,31488,406,1288,,13342,16452,220350,43457,142287,34606
NEW MEXICO,1878562,12535,116,940,,1937,9542,76816,18997,50595,7224
NEW YORK,19212425,89486,934,3775,,35790,48987,432079,75453,311422,45204
NORTH CAROLINA,8421190,38243,506,2139,,12229,23369,359660,100687,232081,26892
NORTH DAKOTA,633400,508,9,160,,53,286,13364,1959,10327,1078
OHIO,11437680,38185,526,4660,,16895,16104,417483,95083,281383,41017
OKLAHOMA,3506469,17758,206,1501,,3224,12827,151208,34846,103404,12958
OREGON,3564330,10506,68,1218,,2847,6373,169863,28562,122327,18974
PENNSYLVANIA,12370761,49210,647,3556,,17980,27027,300639,53918,213279,33442
RHODE ISLAND,1076084,3074,25,505,,830,1714,32231,5524,22320,4387
SOUTH CAROLINA,4148744,33455,303,1952,,5801,25399,187592,43993,127809,15790
SOUTH DAKOTA,764905,1329,10,356,,104,859,15324,2878,11572,874
TENNESSEE,5845208,40409,396,2129,,9413,28471,256565,63323,166769,26473
TEXAS,22103374,122246,1422,8025,,37017,75782,1016735,219877,698644,98214
UTAH,2352119,5889,60,919,,1258,3652,100084,16961,75321,7802
VERMONT,619343,707,15,126,,62,504,13803,3017,10132,654
VIRGINIA,7365284,20490,416,1807,,6713,11554,200449,29105,153367,17977
WASHINGTON,6131298,21272,182,2863,,5718,12509,291542,58271,192653,40618
WEST VIRGINIA,1811440,4627,73,311,,701,3542,42370,10498,28409,3463
WISCONSIN,5474290,12104,183,1202,,4397,6322,157684,26546,118775,12363
WYOMING,502111,1314,14,136,,84,1080,16648,2611,13239,798
ALABAMA,4525375,19324,254,1742,,6042,11286,182340,44666,123650,14024
ALASKA,657755,4159,37,558,,447,3117,22172,3773,16159,2240
ARIZONA,5739879,28952,414,1896,,7721,18921,291203,56885,179012,55306
ARKANSAS,2750000,13814,176,1183,,2372,10083,110911,30151,74242,6518
CALIFORNIA,35842038,189175,2392,9615,,61768,115400,1227194,245903,728687,252604
COLORADO,4601821,17121,201,1945,,3739,11236,180322,33010,123308,24004
CONNECTICUT,3498966,10113,100,755,,4188,5070,93942,15959,66770,11213
DELAWARE,830069,5105,28,357,,1343,3377,27256,5669,19285,2302
FLORIDA,17385430,123754,946,6612,,29997,86199,727141,166332,482484,78325
